id_tbl_preguntas_conversacion_conecta2,fk_tbl_conversaciones_conecta2,pregunta,respuesta,calificacion,comentario
54,47,"que es una cuenta de ahorro?","Una cuenta de ahorro es un producto financiero que te permite guardar tu dinero de manera segura y obtener algunos beneficios. En Davivienda, la Cuenta de Ahorros Tradicional puede ser individual, conjunta o alternativa, y no requiere un monto mínimo de apertura ni saldo mínimo. Además, puedes activar un servicio llamado Bolsillo, que te ayuda a ahorrar de forma programada y disponer de esos recursos fácilmente mediante transferencias.

Esta cuenta genera algunos costos transaccionales y de servicios, y cuenta con el seguro de depósito Fogafín para proteger tu dinero. Puedes abrirla en cualquier oficina del banco o a través de la App Davivienda. También existen beneficios exclusivos para clientes de Banca Privada y Premium Plus, como retiros ilimitados y tarjetas débito sin costo.

Si quieres conocer más detalles, puedes consultar las tasas y tarifas o explorar los servicios adicionales como el Bolsillo para facilitar tu ahorro. 😊",Mal,NULL
55,48,"Ayudame a conocer cómo puedo conocer el estado de mi crédito ","Para conocer el estado de tu crédito en Davivienda, tienes varias opciones disponibles:

1. Puedes consultar el estado y movimientos de tu crédito a través de la aplicación móvil o la página web, donde podrás ver el saldo disponible y los movimientos realizados.

2. También puedes revisar el extracto de tu crédito, donde se discrimina cómo se aplicaron los pagos, incluyendo abonos a capital.

3. Si necesitas información más detallada, puedes comunicarte con el Call Center o usar el chat para recibir asistencia personalizada.

4. Internamente, se puede consultar en el sistema AS400 siguiendo una ruta específica para ver movimientos históricos y detalles del crédito.

Si quieres conocer la calificación de tu crédito, también puedes consultarla en AS400 con la identificación correspondiente.

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
56,49,"Que es un CDT","Un CDT (Certificado de Depósito a Término) es una opción de inversión que ofrece Davivienda, donde tú eliges el monto, el plazo y la periodicidad de pago de intereses que más te convenga. Al finalizar el plazo acordado, recibirás el dinero inicial más los intereses pactados al momento de abrir el CDT. Puedes abrir un CDT con débito a cuenta, cheque o efectivo, y existen dos tipos principales:

1. CDT Tasa fija: Reconoce rendimientos a una tasa de interés fija según el plazo pactado.
2. CDT Tasa variable (IPC): Reconoce rendimientos a una tasa variable indexada al IPC de los últimos 12 meses más puntos adicionales establecidos por el banco.

Es una forma segura y planificada de hacer crecer tu dinero con condiciones claras desde el inicio. 🏦✨

Si quieres conocer más detalles o simular un CDT, puedes acceder a los recursos disponibles para clientes.

📄 **Información adicional disponible:**

• Simulador de CDT: [https://www.davivienda.com/wps/portal/personas/nuevo/personas/portlet/simulador_cdt_cobis](https://www.davivienda.com/wps/portal/personas/nuevo/personas/portlet/simulador_cdt_cobis)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
57,49,"que es una cuenta de ahorro","Una cuenta de ahorro es un producto financiero que te permite guardar tu dinero de forma segura y obtener algunos beneficios. En Davivienda, la Cuenta de Ahorros Tradicional es una opción que puede ser individual, conjunta o alternativa, sin monto mínimo de apertura ni saldo mínimo requerido. Puedes manejarla fácilmente a través de la App Davivienda o en línea, y cuenta con el respaldo del seguro de depósito Fogafín. Además, puedes activar servicios adicionales como el "Bolsillo", que te ayuda a ahorrar de forma programada y disponer de esos recursos cuando los necesites con solo una transferencia.

Esta cuenta puede generar algunos costos transaccionales y de servicios, y tiene beneficios exclusivos para clientes de Banca Privada y Premium Plus, como retiros ilimitados o sin costo en cajeros automáticos.

Si quieres conocer más detalles sobre las características, beneficios y tarifas, puedes consultar los enlaces disponibles.

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
58,48,"ayudame por favor con los beneficios de comprar carro hybrido o electrico ","Comprar un carro híbrido o eléctrico tiene varios beneficios interesantes, especialmente si consideras las opciones de financiamiento que ofrece Davivienda:

1. Tasas preferenciales: Durante ciertos periodos, como en junio de 2025, puedes acceder a tasas de interés muy bajas para financiar vehículos eléctricos o híbridos, desde 0,76% mensual variable (9,51% efectivo anual), lo que hace más accesible la compra.

2. Planes de financiación flexibles: Davivienda ofrece planes tradicionales y con cuotas extraordinarias, además de un crédito especial llamado "Eco Vehículo" para estos tipos de carros.

3. Beneficios para funcionarios: Si eres funcionario activo de Davivienda o sus filiales, puedes acceder a condiciones preferenciales adicionales para la compra de vehículos ecoeficientes, siempre que cumplas ciertos requisitos.

4. Apoyo a la movilidad sostenible: Al elegir un vehículo híbrido o eléctrico, contribuyes a reducir la contaminación ambiental y a promover un transporte más limpio.

Estos beneficios están sujetos a condiciones específicas y fechas de vigencia, por lo que es importante revisar las ofertas actuales.

📄 **Información adicional disponible:**

• Detalles de la oferta y tasas preferenciales para vehículos eléctricos e híbridos: [Ver cartelera de tasas](https://docs.google.com/spreadsheets/d/1RVmrdckjy2qrAWex43nN-6SCgbWb3CDX7YSVaijFKYY/edit?gid=1102859857#gid=1102859857)

• Información sobre el crédito Eco Vehículo para funcionarios: [Beneficios Davivienda](https://sites.google.com/davivienda.com/beneficiosdavivienda/finanzas-y-patrimonio/cr%C3%A9ditos/veh%C3%ADculo/cr%C3%A9dito-veh%C3%ADculo-ecoeficiente)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
59,50,"auementar el cupo","¿Te refieres a aumentar el cupo de una tarjeta de crédito, de un crédito empresarial o de algún otro producto? ¿Quieres saber el proceso, los requisitos o los beneficios de aumentar el cupo?",Mal,NULL
60,50,"pagar en dolares","¿Quieres saber cómo realizar pagos en dólares, los lugares donde puedes hacerlos, o los requisitos para pagar en esa moneda? ¿Podrías especificar un poco más tu consulta para ayudarte mejor?",Mal,NULL
61,50,"Abrir un producto","¿Podrías decirme qué tipo de producto te gustaría abrir? Por ejemplo, ¿una cuenta de ahorros, un CDT, una tarjeta de crédito, o algún otro producto específico? ¿Quieres conocer los requisitos, beneficios o el proceso para abrirlo?",Mal,NULL
62,50,"pagar en dolares","Para realizar pagos en dólares en Davivienda, es importante que tengas en cuenta lo siguiente:

1. Los pagos en dólares aplican exclusivamente para tarjetas de crédito con facturación en esta moneda y deben hacerse en oficinas autorizadas.
2. Solo se aceptan dólares americanos en billetes, sin monedas, y el depósito debe ser en valores enteros.
3. Los pagos se reciben hasta las 4:00 p.m.; después de esa hora, el pago se aplicará al día hábil siguiente.
4. Puedes pagar hasta el saldo total en dólares de tu tarjeta. Si el monto supera los USD$5,000 en un mes, deberás justificar el origen de los recursos.
5. Es necesario que el desprendible del extracto o el formato de pago esté completamente diligenciado y coincida en original y copia.
6. Davivienda no entrega cambio en dólares, por lo que debes llevar el valor exacto.

Además, solo algunas oficinas están autorizadas para recibir pagos en dólares. Puedes consultar la lista de oficinas autorizadas aquí:

[Consulta oficinas autorizadas para pagos en dólares](https://docs.google.com/spreadsheets/d/1XZLtiYZ8pzNSQZQlDhvliCmnQCXZO03w_IoqLZBND_w/edit?gid=0#gid=0)

Si quieres conocer las tasas y tarifas relacionadas con pagos en dólares, puedes revisar esta información:

[Tasas y Tarifas Davivienda](https://www.davivienda.com/wps/portal/personas/nuevo/personas/tasasytarifas/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTdw9fQxdzQIcXY3NjAwcPUzMjCwswgwNzA30w8EKjC0CTfy8nIx8g90sjQ0cfQ2CnR0t_Q393Y30o4jRb4ADOBoQpx-Pgij8xofrR4GV4PMBPgUGbuZQBXgsKcgNDY0wyPQEAKDJNcw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
63,51,"que es una cuenta de ahorro?","Una cuenta de ahorro es un producto financiero que te permite guardar dinero de manera segura y disponer de él cuando lo necesites. En Davivienda, por ejemplo, la Cuenta de Ahorros Tradicional puede ser individual, conjunta o alternativa, y no requiere un monto mínimo de apertura ni saldo mínimo. Además, puedes activar servicios adicionales como el "Bolsillo", que te ayuda a ahorrar de forma programada y hacer aportes ocasionales con facilidad. Esta cuenta también cuenta con beneficios como seguro de depósito Fogafín y diferentes opciones para manejarla, ya sea en oficinas, por la App o en línea. 😊

Si quieres conocer más detalles sobre las características, beneficios y tarifas, puedes consultar los siguientes enlaces.

📄 **Información adicional disponible:**

• Detalles sobre la Cuenta de Ahorros Tradicional y sus beneficios: [https://www.davivienda.com/wps/portal/personas/nuevo/personas/tasasytarifas/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTdw9fQxdzQIcXY3NjAwcPUzMjCwswgwNzA30w8EKjC0CTfy8nIx8g90sjQ0cfQ2CnR0t_Q393Y30o4jRb4ADOBoQpx-Pgij8xofrR4GV4PMBPgUGbuZQBXgsKcgNDY0wyPQEAKDJNcw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/](https://www.davivienda.com/wps/portal/personas/nuevo/personas/tasasytarifas/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTdw9fQxdzQIcXY3NjAwcPUzMjCwswgwNzA30w8EKjC0CTfy8nIx8g90sjQ0cfQ2CnR0t_Q393Y30o4jRb4ADOBoQpx-Pgij8xofrR4GV4PMBPgUGbuZQBXgsKcgNDY0wyPQEAKDJNcw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/)

• Información sobre el servicio "Bolsillo" para ahorro programado: [https://sites.google.com/davivienda.com/conecta/personas/captaci%C3%B3n/ahorro/bolsillo](https://sites.google.com/davivienda.com/conecta/personas/captaci%C3%B3n/ahorro/bolsillo)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
64,51,"cual es el costo de retiro en oficina?","El costo por realizar un retiro en efectivo en oficina con tarjeta débito en Davivienda es de $14.000 sin IVA. Este cobro aplica para personas naturales con tarjeta débito, excepto para pensionados y cuentas móviles del combo de $13.500 + IVA, que están exentas. Además, el monto máximo que puedes retirar por caja en oficina en cuentas de ahorro o corriente es de $50 millones. Si necesitas hacer un retiro mayor o igual a $80 millones, se recomienda hacerlo mediante cheque de gerencia o domiciliación.

Ten en cuenta que los clientes con Tarjeta Débito Digital Mastercard no pueden hacer retiros en oficina y deben usar la red de cajeros del banco.

Si quieres evitar este costo, puedes usar alternativas como retiros en cajeros Davivienda, transferencias gratuitas desde la App o pagos por PSE.

📄 **Información adicional disponible:**

• Tasas y tarifas de Davivienda: [https://www.davivienda.com/wps/portal/personas/nuevo/personas/tasasytarifas/](https://www.davivienda.com/wps/portal/personas/nuevo/personas/tasasytarifas/)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
65,52,"Que es un CDT","Un CDT (Certificado de Depósito a Término) es una opción de inversión que ofrece Davivienda, donde tú eliges el monto, el plazo y la periodicidad de pago de intereses que más te convenga. Al finalizar el plazo acordado, recibirás el dinero inicial más los intereses pactados al momento de abrir el CDT. Puedes abrir un CDT con débito a cuenta, cheque o efectivo, y existen diferentes tipos, como:

1. CDT Tasa fija: donde obtienes rendimientos a una tasa de interés fija según el plazo acordado.
2. CDT Tasa variable (indexada al IPC): donde los rendimientos varían según el IPC de los últimos 12 meses más puntos adicionales establecidos por el banco.

Si quieres conocer más detalles o realizar simulaciones, hay herramientas internas para ello.

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
66,52,"Cuales son los horarios de atención?","Los horarios de atención en Davivienda pueden variar según el canal o punto de atención que elijas. Para consultar los horarios específicos de oficinas, cajeros, corresponsales y otros puntos de servicio, puedes usar las siguientes opciones:

1. Visitar la página web de Davivienda en la sección de canales de atención.
2. Usar la App Davivienda Móvil en la opción 'Puntos de atención'.
3. Utilizar la Nueva Aplicación Davivienda para agendar o consultar visitas y ubicar puntos de atención.

Además, tienes a disposición las líneas de atención telefónica:
- Bogotá: (601) 338 3838
- Resto del país: 018000 123 838
- Desde Estados Unidos: 833 95 73443
- Desde España: 00 8000 3383838

También puedes comunicarte mediante chat en www.davivienda.com o en la App Davivienda Móvil.

📄 **Información adicional disponible:**

• Canales de atención y puntos de servicio: [https://sites.google.com/davivienda.com/conecta/conoce-m%C3%A1s/canales-de-atenci%C3%B3n?authuser=0](https://sites.google.com/davivienda.com/conecta/conoce-m%C3%A1s/canales-de-atenci%C3%B3n?authuser=0)

• Directorio de oficinas y cajeros: [https://www.davivienda.com/wps/portal/personas/nuevo?elqTrackId=779703e6808f4f1ba7b1265fb954af71&elqaid=7806&elqat=2#iframe](https://www.davivienda.com/wps/portal/personas/nuevo?elqTrackId=779703e6808f4f1ba7b1265fb954af71&elqaid=7806&elqat=2#iframe)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
67,52,"Cuales son los horarios de oficina?","Los horarios de atención de las oficinas de Davivienda pueden variar según la ubicación. Para conocer el horario específico de una oficina, puedes consultar los puntos de atención a través de los canales virtuales como la página web, la App Davivienda móvil o la nueva Aplicación Davivienda, donde también puedes agendar visitas o turnos para atención inmediata.

Ten en cuenta que el servicio de agendamiento de turnos está disponible en algunas oficinas seleccionadas y los turnos se deben solicitar dentro del horario de atención de cada oficina.

Si quieres ubicar una oficina y conocer su horario, puedes usar los siguientes recursos:

📄 **Información adicional disponible:**

• Canales de atención y puntos de servicio: [https://sites.google.com/davivienda.com/conecta/conoce-m%C3%A1s/canales-de-atenci%C3%B3n?authuser=0](https://sites.google.com/davivienda.com/conecta/conoce-m%C3%A1s/canales-de-atenci%C3%B3n?authuser=0)

• Directorio de oficinas y cajeros: [https://www.davivienda.com/wps/portal/personas/nuevo?elqTrackId=779703e6808f4f1ba7b1265fb954af71&elqaid=7806&elqat=2#iframe](https://www.davivienda.com/wps/portal/personas/nuevo?elqTrackId=779703e6808f4f1ba7b1265fb954af71&elqaid=7806&elqat=2#iframe) 👏😊",NULL,NULL
68,53,"que es un crediexpress?","Un Crediexpress es un producto de crédito que puede ser ofrecido en modalidades fijas o rotativas. Por ejemplo, la estrategia de "primer uso Crediexpress Rotativo" permite a los clientes que soliciten la creación de un Crediexpress desembolsar el 100% del cupo en el mismo momento de la creación, con una tasa preferencial que disminuye 300 puntos básicos si el primer desembolso se realiza el mismo día de la creación del cupo. Esta tasa especial se mantiene bajo ciertas condiciones según si el crédito es revolvente o no. Además, el Crediexpress forma parte de un portafolio de productos que pueden incluir otros servicios como sobregiros y tarjetas de crédito para comercios. También es posible unificar productos Crediexpress fijos y rotativos con otros créditos bajo ciertas modalidades.

Si quieres conocer más detalles sobre esta estrategia, puedes consultar los documentos específicos que explican el proceso y condiciones.

📄 **Información adicional disponible:**

• Estrategia primer uso Crediexpress Rotativo: [https://docs.google.com/presentation/d/1FxVGuud7jNy5mvb0hGL8R5DnnFipIt9wlqxs4b26Ztc/edit#slide=id.g5d860e687d_3_0](https://docs.google.com/presentation/d/1FxVGuud7jNy5mvb0hGL8R5DnnFipIt9wlqxs4b26Ztc/edit#slide=id.g5d860e687d_3_0)

• Carpeta con información adicional: [https://drive.google.com/drive/folders/1MYdyY060FbWbdYFKUqowcq3Dh4LbPYHR](https://drive.google.com/drive/folders/1MYdyY060FbWbdYFKUqowcq3Dh4LbPYHR)  

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
69,53,"Dóndde encuentro información sobre tasas de interés de tarjeta de crédito?","Puedes encontrar la información sobre las tasas de interés vigentes para las tarjetas de crédito de Davivienda en un documento específico que detalla las tasas para compras, avances, pagos de impuestos, pago de gasolina y compra de cartera. Este documento está disponible en un enlace de Google Sheets donde se actualizan las tasas vigentes.

Además, si te interesa, hay una tarjeta llamada "Tarjeta 50% interés" que ofrece un descuento del 50% sobre la tasa de interés vigente para todas las compras realizadas con ella, con detalles sobre su funcionamiento y beneficios en una presentación disponible también en línea.

📄 **Información adicional disponible:**

• Tasas vigentes para tarjetas de crédito: [https://docs.google.com/spreadsheets/d/1hnzySOyRjHlWf-3Xi9gjpT0m30n9VGB1zeWkPOpEXUw/edit#gid=527109439](https://docs.google.com/spreadsheets/d/1hnzySOyRjHlWf-3Xi9gjpT0m30n9VGB1zeWkPOpEXUw/edit#gid=527109439)

• Detalles sobre la Tarjeta 50% interés: [https://docs.google.com/presentation/d/1PJyRHWv3KIwqB_DbtOwoLwss1BhrV-43/edit?slide=id.p13#slide=id.p13](https://docs.google.com/presentation/d/1PJyRHWv3KIwqB_DbtOwoLwss1BhrV-43/edit?slide=id.p13#slide=id.p13) 👏

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
70,54,"como pagar mi tarjeta de credito en dolares?","Para pagar tu tarjeta de crédito en dólares en Davivienda, debes tener en cuenta lo siguiente:

1. Los pagos en dólares aplican solo para tarjetas con facturación en esta moneda y deben hacerse en oficinas autorizadas.
2. Solo se aceptan billetes de dólares americanos en valores enteros, no se reciben monedas.
3. Los pagos se reciben hasta las 4:00 p.m.; después de esa hora, el pago se aplicará al siguiente día hábil.
4. Puedes pagar hasta el saldo total en dólares de tu tarjeta.
5. Si el pago supera los USD$5,000 en un mes, deberás justificar el origen de los recursos.
6. Asegúrate de que el desprendible del extracto o formato esté correctamente diligenciado y que el efectivo entregado coincida con el valor registrado.
7. Davivienda no entrega cambio en dólares, por lo que debes llevar el valor exacto.

Además, si tu tarjeta tiene facturación mixta (pesos y dólares), al pagar en dólares se cobra una comisión del 1.8% sobre el valor del pago en pesos, que se convertirá con la TRM vigente y se cobrará en la cartera en pesos en el siguiente pago mínimo.

Recuerda que solo algunas oficinas están autorizadas para recibir pagos en dólares.

📄 **Información adicional disponible:**

• Consulta las oficinas autorizadas para pagos en dólares aquí: [Oficinas autorizadas para pagos en dólares](https://comunidadesdesoporte.davivienda.com/respuestas/1718)

• Para conocer las tasas y tarifas aplicables, visita: [Tasas y Tarifas Davivienda](https://www.davivienda.com/wps/portal/personas/nuevo/personas/tasasytarifas/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTdw9fQxdzQIcXY3NjAwcPUzMjCwswgwNzA30w8EKjC0CTfy8nIx8g90sjQ0cfQ2CnR0t_Q393Y30o4jRb4ADOBoQpx-Pgij8xofrR4GV4PMBPgUGbuZQBXgsKcgNDY0wyPQEAKDJNcw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",NULL,NULL
71,55,"Que es formulario Express","El formulario Express es una herramienta utilizada para radicar solicitudes y novedades de manera ágil en diferentes productos y servicios de Davivienda. Por ejemplo, en Banca Patrimonial, este formulario permite gestionar novedades relacionadas con inversiones, certificaciones, movimientos de productos, y otros trámites específicos, todo de forma rápida y con seguimiento en línea. Además, para ciertos casos empresariales, existe un formulario de Novedades Express que facilita la gestión de aclaraciones, certificaciones, bloqueos, y otros procesos sin necesidad de contacto directo con un experto.

Este formulario está diseñado para que puedas ingresar tu solicitud, recibir una respuesta en un tiempo máximo de 20 minutos, y hacer seguimiento fácilmente a través de la plataforma.

Si quieres conocer más detalles o acceder a los formularios, puedes revisar los enlaces disponibles en la documentación.

😊 Si tienes alguna inquietud adicional, estoy aquí para ayudarte.",Mal,NULL
72,55,"Que es un CDT","Un CDT (Certificado de Depósito a Término) es una opción de inversión que ofrece Davivienda, donde tú eliges el monto, el plazo y la periodicidad de pago de intereses que más te convenga. Al finalizar el plazo acordado, recibirás el dinero inicial más los intereses pactados al momento de abrir el CDT. Puedes abrirlo con débito a cuenta, cheque o efectivo, y existen diferentes tipos, como:

1. CDT Tasa fija: donde la tasa de interés es fija durante todo el plazo.
2. CDT Tasa variable (IPC): donde la tasa de interés varía según el IPC de los últimos 12 meses más un porcentaje adicional.

Es una forma segura y planificada de hacer crecer tu dinero con rendimientos definidos. 😊👍",Mal,NULL
73,56,"pagos automaticos programados","¿Quieres saber cómo programar pagos automáticos, cómo modificarlos o eliminarlos, o necesitas ayuda con algún tipo específico de pago automático? ¿Podrías contarme un poco más sobre tu consulta?",NULL,NULL
74,56,"que significa los pagos automaticos programados en una tarjeta de credito ?","Los pagos automáticos programados en una tarjeta de crédito son una funcionalidad que permite que el pago mínimo o total de tu tarjeta se realice de forma automática desde una cuenta de ahorros o corriente asociada, sin que tengas que hacer el pago manualmente cada mes. Esto facilita mantener tus pagos al día y evita filas o retrasos. En Davivienda, puedes activar o modificar este débito automático para tus créditos y tarjetas, siempre y cuando la cuenta asociada no tenga bloqueos o embargos. Además, el sistema debita el saldo disponible de la cuenta para cubrir el pago, y en caso de mora, puede hacer débitos de varias cuentas para completar el pago mínimo. También es importante saber que el banco notifica por SMS cuando se programa un débito automático para que estés informado. 😊👍

Si quieres más detalles sobre cómo funciona el débito automático y las notificaciones, puedo compartirte información adicional.",NULL,NULL
75,57,"como aumentar el cupo de una tarjeta de crédito por la app?","Para aumentar el cupo de tu tarjeta de crédito a través de la app Davivienda, sigue estos pasos:

1. Ingresa a la app Davivienda Móvil.
2. Selecciona la opción "Mis Tarjetas de Crédito".
3. Escoge la tarjeta para la cual deseas solicitar el aumento de cupo.
4. En el menú de servicios, si tu tarjeta está habilitada, verás la opción "Solicitar aumento de cupo".
5. Revisa los beneficios y características de esta opción.
6. Ingresa los datos que te soliciten.
7. Si cumples con las políticas de evaluación, podrás ver el nuevo cupo aprobado.
8. Selecciona el monto que deseas aumentar (mínimo $500.000 y máximo el aprobado) y da clic en continuar.
9. Acepta los términos y condiciones.
10. Revisa el resumen y finaliza la solicitud.
11. Recibirás una notificación por correo y celular confirmando el aumento.

Ten en cuenta que:
- El nuevo cupo puede tardar en reflejarse en el estado de cuenta, pero estará disponible para uso inmediato.
- Algunas tarjetas no están habilitadas para este proceso por la app.
- Debes estar al día en todos tus productos con Davivienda y la tarjeta debe tener al menos 3 meses desde su activación.
- Cada aumento requiere evaluación de crédito y no debe haber bloqueos en la tarjeta.

Si quieres más detalles, puedes consultar la capacitación y el sitio de Conecta.

😊 Si tienes alguna inquietud adicional, estoy aquí para ayudarte.",NULL,NULL
76,58,"cuantos cdt puede tener un cliente ","¿Quieres saber cuántos CDT puede tener un cliente en Davivienda o te interesa conocer algún detalle específico sobre la apertura o manejo de varios CDT?",Mal,NULL
77,58,"que es bolsillo","Un Bolsillo es un servicio que ofrece la cuenta de ahorros en Davivienda, diseñado para que puedas hacer un ahorro mensual y también aportes ocasionales, manteniendo la seguridad de tus recursos. Lo mejor es que puedes disponer de ese dinero fácilmente con solo hacer una transferencia desde el bolsillo a tu cuenta principal. Además, los bolsillos no pueden ser embargados, lo que te da una protección adicional sobre esos ahorros. 😊

Si quieres conocer más detalles o cómo abrir un bolsillo, puedes consultar esta información:

📄 **Información adicional disponible:**

• Más detalles y proceso para abrir un bolsillo: [https://sites.google.com/davivienda.com/conecta/personas/captaci%C3%B3n/ahorro/bolsillo](https://sites.google.com/davivienda.com/conecta/personas/captaci%C3%B3n/ahorro/bolsillo)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",NULL,NULL
